Command,Path,IsOptional,Type,Package,Category,Name,Aliases,Description,Licence
setfont,,1,busybox,,sys,,,,GNU GPLv2
sfdisk,,1,bundled,util-linux,dsk,sfdisk,,A partitioning tool suited for automated and scripted use.,GNU GPLv2
sha1sum,,1,busybox,,chk,,,,GNU GPLv2
sha256sum,,1,busybox,,chk,,,,GNU GPLv2
sha384sum,,1,busybox,,chk,,,,GNU GPLv2
sha3sum,,1,busybox,,chk,,,,GNU GPLv2
sha512sum,,1,busybox,,chk,,,,GNU GPLv2
shorkdir,,1,shorkutil,,gen,SHORKDIR,,"A terminal-based file browser. It allows you to surf the file system with Vim-like controls, WASD or arrow keys, open text-based files with an installed editor of your choice, and inspect a file (if file is installed).",GNU GPLv3
shorkfetch,,1,shorkutil,,sys,SHORKFETCH,,"A shark-themed Linux fetch tool designed with speed, consistent output, and vintage hardware support in mind. It displays basic system and environment information in a summarised format. It can report the current username, hostname, operating system/distribution, kernel version, system uptime, number of installed packages, screens, desktop environment, window manager, terminal, console size, shell, CPU, GPUs, system memory, swap memory, root partition size, and local IP address.",GNU GPLv3
shorkgui,,1,shorkutil,,gen,SHORKGUI,,EXPERIMENTAL. Starts the SHORKGUI graphical environment.,GNU GPLv3
shorkhelp,,1,shorkutil,,gen,SHORKHELP,,"Provides help and reference information regarding SHORK and included software and tools. It provides a command database and list, guides, and cheatsheets.",GNU GPLv3
shorklocomotive,,1,shorktainment,,fun,SHORKLOCOMOTIVE,sl,"A shark-themed take on the sl command that kindly pokes fun at making typos when trying to type ""ls"". When ran, an ASCII art shark moves across the terminal from left to right.",GNU GPLv3
shorkmatrix,,1,shorktainment,,fun,SHORKMATRIX,cmatrix,"A vertical scrolling text screensaver. It is a minimalist, blue-themed take on CMatrix, a terminal program that provides ""digital rain"". Inspired by the 1999 film ""The Matrix"", the ""droplets"" are lines of blue characters that fall from the top of the terminal to the bottom, and are occasionally broken up.",GNU GPLv3
